0,1,2,3,4,5
MICS,MDG,,Value,,
Topic     Indicator Number,Indicator Indicator Number,,,,
CHILD MORTALITY,,,,,
Child mortality,1,,Under-five mortality rate,78,per thousand
,2,Infant mortality rate,69,per thousand,
NUTRITION,,,,,
Breastfeeding,45,,Timely initiation of breastfeeding,30,percent
Vitamin A,43,Vitamin A supplementation (post-partum mothers),16,percent,
Low birth weight,10,,Infants weighed at birth,8,percent
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,67,percent
,26,,Polio immunization coverage,60,percent
,27,,DPT immunization coverage,60,percent
,28,15,Measles immunization coverage,59,percent
,31,,Fully immunized children,18,percent
,29,,Hepatitis B immunization coverage,19,percent
Tetanus toxoid,32,,Neonatal tetanus protection,31,percent
Care of illness,33,,Use of oral rehydration therapy (ORT),87,percent
,34,Home management of diarrhoea,31,percent,
,22,Antibiotic treatment of suspected pneumonia,38,percent,
Solid fuel use,24,29,Solid fuels,36,percent
ENVIRONMENT,,,,,
Water and,11,30,Use of improved drinking water sources,59,percent
Sanitation,13,,Water treatment,5,percent
,12,31,Use of improved sanitation facilities,52,percent
REPRODUCTIVE HEALTH,,,,,
Contraception,21,19c,Contraceptive prevalence,28,percent
and unmet need,98,,Unmet need for family planning Demand satisfied for family planning,24,percent percent
,99,,,54,
Maternal and,20,,Antenatal care,47,percent
,,,Content of antenatal care,,
,,,Blood test taken,,
,,,Blood pressure measured Urine specimen taken Weight measured,,
,,,Skilled attendant at delivery Institutional deliveries,,
newborn health,44,,,,
,,,37,percent,
,,,40,percent,
,,,34,percent,
,,,27,percent,
,4,17,36,percent,
,5,,24,percent,
Fertility,,,Total Fertility Rate,5.2,rate
CHILD DEVELOPMENT,,,,,
Child,46,,Support for learning,26,percent
development,47,,Father's support for learning,32,percent
,48,,Support for learning: children’s books,10,percent
,49,,Support for learning: non-children’s books,59,percent
,50,,Support for learning: materials for play,18,percent
,51,,Non-adult care,31,percent
Topic,MICS,MDG,,Value,
,Indicator Number,Indicator Indicator Number,,,
EDUCATION,,,,,
Education,52,,Pre-school attendance,3,percent
,,,Net intake rate in basic  education Net primary school attendance rate Net secondary school attendance rate Children reaching grade five Transition rate to secondary school Primary completion rate,,
,,,Gender parity index,,
,,,basic education secondary school,,
,54,,40,percent,
,55,6,68,percent,
,56,,24,percent,
,57,7,79,percent,
,58,,66,percent,
,59,7b,18,percent,
,61,9,,,
,,,0.80,ratio,
,,,0.60,ratio,
Literacy,,,Adult literacy rate (Ever married women only),35,percent
CHILD PROTECTION,,,,,
Birth registration,62,,Birth registration,22,percent
Child labour,71,,Child labour,23,percent
,72,Labourer students,60,percent,
,73,Student labourers,23,percent,
Child discipline,74,,Child discipline,94,percent
,,,Any psychological/physical punishment,,
Early marriage,67,,Marriage before age 15 Marriage before age 18,14,percent
,,,Young women age 15-19 currently married Spousal age difference,,
,,,Women age 15-19,,
,,,Women age 20-24,,
,,52,percent,,
,68,19,percent,,
,69,,,,
,,16,percent,,
,,18,percent,,
Disability,101,,Child disability,25,percent
Orphans,75,,Prevalence of orphans,5,percent
,78,Children’s living arrangements,2,percent,
Topic,MICS MDG,,Value,,
,Indicator Indicator Indicator Number Number,,,,
HIV and AIDS,,,,,
HIV and AIDS,89,Knowledge of mother- to-child transmission of,32,percent,
knowledge and,,HIV*,,,
attitudes,86,Attitude towards people with HIV/AIDS*,5,percent,
,87,Women who know where to be tested for HIV*,12,percent,
,88,Women who have been tested for HIV*,2,percent,
,90,Counselling coverage for the prevention of mother-,2,percent,
,,to-child transmission of HIV,,,
,91,Testing coverage for the prevention of mother-to-,1,percent,
,,child transmission of HIV,,,
