0,1,2,3,4
CHILD MORTALITY,,,,
Early childhood mortality*,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
1.1,,Neonatal mortality rate,Probability of dying within the first month of life,29
1.2,MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,55
1.3,,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,25
1.4,,Child mortality rate,Probability of dying between the first and the fifth birthdays,21
1.5,MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,75
* Rates refer to the 5-year period preceding the survey.,,,,
NUTRITION,,,,
Nutritional status,,,,
MICS Indicator,Indicator,Description,Value,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,11.2
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),2.2
,,Severe,minus three standard deviations (severe),
,,,of the median weight for age of the WHO standard,
2.2a,,Stunting prevalence,Percentage of children under age 5 who fall below,27.6
2.2b,,Moderate and severe,minus two standard deviations (moderate and severe),7.8
,,Severe,minus three standard deviations (severe),
,,,of the median height for age of the WHO standard,
2.3a,,Wasting prevalence,Percentage of children under age 5 who fall below,3.3
2.3b,,Moderate and severe,minus two standard deviations (moderate and severe),0.7
,,Severe,minus three standard deviations (severe),
,,,of the median weight for height of the WHO standard,
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,3.6
Nutritional Oedema,,,,
2.S1,,Nutritional oedema prevalence,Percentage of children 6-59 months with bilateral oedema,0.2
Breastfeeding and infant feeding,,,,
2.5,,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,98.1
2.6,,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,58.9
2.7,,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,41.0
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,64.4,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,84.4,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,17.1,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,17.7,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,57.1,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",87.3,
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,11.3,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non- breastfed children) the minimum number of times or more during the previous day",59.1,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups during the previous day,28.0,
2.17a,Minimum acceptable diet,Percentage of breastfed children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,17.3,
2.17b,,Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,4.6,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,10.3,
Salt iodisation,,,,
2.19,Iodised salt consumption,Percentage of households with salt testing 15 parts per million or more of iodide/iodate,54.5,
Low-birth weight,,,,
2.20,Low-birth weight infants,Percentage of most recent live births in the last 2 years weighing below 2 500 grams at birth,10.1,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,83.0,
Vitamin A supplementation,,,,
2.S2,Vitamin A Supplementation,Percentage of children age 6-59 months who received at least one high dose Vitamin A supplement in the last 6 months,32.3,
CHILD HEALTH,,,,
Vaccinations,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
3.1,Tuberculosis immunisation coverage,Percentage of children age 12-23 months who received BCG vaccine by their first birthday,92.4,
3.2,Polio immunisation coverage,Percentage of children age 12-23 months who received the third dose of OPV vaccine (OPV3) by their first birthday,84.9,
3.S1,"Diphtheria, pertussis and tetanus (DPT) immunisation coverage",Percentage of children age 12-23 months who received the third dose of DPT vaccine (DPT3) by their first birthday,85.4,
3.4,MDG 4.3,Measles immunisation coverage,Percentage of children age 12-23 months who received measles vaccine by their first birthday,82.6
3.5,,Hepatitis B immunisation coverage,Percentage of children age 12-23 months who received the third dose of Hepatitis B vaccine (HepB3) by their first birthday,85.4
3.6,,Haemophilus influenzae type B (Hib) immunisation coverage,Percentage of children age 12-23 months who received the third dose of Hib vaccine (Hib3) by their first birthday,85.4
3.8,,Full immunisation coverage,Percentage of children age 12-23 months who received all vaccinations recommended in the national immunisation schedule by their first birthday.,69.2
Tetanus toxoid,,,,
3.9,,Neonatal tetanus protection,Percentage of women age 15-49 years with a live birth in the last 2 years who were given at least two doses of tetanus toxoid vaccine within the appropriate interval prior to the most recent birth,63.5
Diarrhoea,,,,
-,,Children with diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks,15.5
3.10,,Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,44.3
3.11,,Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS and zinc,13.8
3.12,,Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,"Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORT (ORS packet, pre-packaged ORS fluid, recommended homemade fluid or increased fluids) and continued feeding during the episode of diarrhoea",56.4
Acute Respiratory Infection (ARI) symptoms,,,,
-,,Children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks,5.3
3.13,,Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,58.6
3.14,,Antibiotic treatment for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,34.3
Solid fuel use,,,,
