0,1,2,3,4
Topic,MICS4 MDG,Value,Unit,
,Indicator Indicator,,,
,Number Number Indicator,,,
CHILD MORTALITY,,,,
Child mortality,1.1 4.1 Under-five mortality rate,102,per thousand,
,1.2 4.2 Infant mortality rate,74,per thousand,
NUTRITION,,,,
Nutritional status,1.8 Underweight prevalence,,,
,2.1a Underweight prevalence  Moderate and Severe (- 2 SD),25,percent,
,b Severe (- 3 SD),10.6,percent,
,Stunting prevalence a Moderate and Severe (- 2 SD),51.6,percent,
,Stunting prevalence b Severe (- 3 SD),34.1,percent,
,Wasting prevalence a Moderate and Severe (- 2 SD),13.9,percent,
,Wasting prevalence 2.3b Severe (- 3 SD),7.2,percent,
Breastfeeding and infant feeding,Children ever breastfed,93.4,percent,
,Early initiation of breastfeeding,53.6,percent,
,Exclusive breastfeeding under 6 months,54.3,percent,
,Continued breastfeeding at 1 year,87.8,percent,
,Continued breastfeeding at 2 years,69.4,percent,
,Predominant breastfeeding under 6 months,69.2,percent,
,Duration of breastfeeding,23.7,percent,
,Bottle feeding,28.2,percent,
,"Introduction of solid, semi-solid or soft foods",20.1,percent,
,Minimum meal frequency,17.8,percent,
,Age-appropriate breastfeeding,36.7,percent,
,Milk feeding frequency for non-breastfed children,59.5,percent,
Salt iodization,2.16 Iodized salt consumption,20.4,percent,
Vitamin A,2.17                           Vitamin A supplementation (children under age 5),50.6,percent,
Anaemia,Child Anaemia prevalence,33.7,percent,
,Non-pregnant women anaemia prevalence,21.4,percent,
,,,,
,Pregnant women anaemia prevalence,16.3,percent,
CHILD HEALTH,,,,
Vaccinations,Tuberculosis immunization coverage,64.2,percent,
,Polio immunization coverage,48,percent,
,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",40.2,percent,
,,,,
,,,,
,3.4 4.3 Measles immunization coverage,55.5,percent,
Tetanus toxoid,3.7 Neonatal tetanus protection,40.8,percent,
Care of illness,Oral rehydration therapy with continued feeding,47.5,percent,
,Care seeking for suspected pneumonia,60.5,percent,
,Antibiotic treatment of suspected pneumonia,63.9,percent,
Solid fuel use,3.11 Solid fuels,84.2,percent,
WATER AND SANITATION,,,,
Water and sanitation,4.1 7.8 Use of improved drinking water sources,56.7,percent,
,4.2 Water treatment,14.9,percent,
,4.3 7.9 Use of improved sanitation facilities,28.5,percent,
,4.4 Safe disposal of child's faeces,45.8,percent,
Hand washing,4.5 Place for hand washing,70.8,percent,
,4.6 Availability of soap,74.4,percent,
REPRODUCTIVE HEALTH,,,,
Early childbearing and,5.2 Early childbearing,25.6,percent,
contraception,5.3 5.3 Contraceptive prevalence rate,21.2,percent,
Maternal and newborn health,5.5 Antenatal care coverage,,,
,5.5a At least once by skilled personnel,47.9,percent,
,b At least four times by any provider,14.6,percent,
,Content of antenatal care,12.1,percent,
,5.2 Skilled attendant at delivery,38.6,percent,
,Institutional deliveries,32.9,percent,
,Caesarean section,3.6,percent,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
CHILD DEVELOPMENT,,,,
Child development,6.1 Support for learning,73.1,percent,
,6.2 Father's support for learning,61.8,percent,
,6.3 Learning materials: children s books,2.2,percent,
,6.4 Learning materials: playthings,52.6,percent,
,6.5 Inadequate care,40.2,percent,
,6.7 Attendance to early childhood education,1,percent,
EDUCATION,,,,
Literacy and education,2.3 Literacy rate among young women,22.2,percent,
,School readiness,12.7,percent,
,Net intake rate in primary education,29,percent,
,2.1 Primary school net attendance ratio (adjusted),55.2,percent,
,Secondary school net attendance ratio (adjusted),32.4,percent,
,2.2 Children reaching last grade of primary,84.1,percent,
,Primary completion rate,30.7,percent,
,Transition rate to secondary school,92.9,percent,
,Gender parity index (primary school),0.74,ratio,
,Gender parity index (secondary school),0.49,ratio,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
CHILD PROTECTION,,,,
Birth registration,8.1 Birth registration,37.4,percent,
Child labour,8.2 Child labour,25.3,percent,
,8.3 School attendance among child labourers,50.9,percent,
,8.4 Child labour among students,30.9,percent,
Child discipline,8.5 Violent discipline,74.4,percent,
Early marriage and polygamy,8.6 Marriage before age 15,15.2,percent,
,Marriage before age 18,46.3,percent,
,Young women age 15-19 currently married,19.8,percent,
,Polygamy,7.1,percent,
,Spousal age difference,,,
,a Women age 15-19,11,percent,
,8.10b Women age 20-24,14,percent,
,,,,
,,,,
,,,,
,,,,
Domestic violence,8.14 Attitudes towards domestic violence,91.5,percent,
Orphaned children,Children s living arrangements,1.7,percent,
,Prevalence of children with at least one parent dead,4.7,percent,
,6.4 School attendance of orphans,34.4,percent,
,9.2 6.4 School attendance of non-orphans,57.4,percent,
,,,,
,,,,
,,,,
HIV & AIDS,,,,
HIV and AIDS knowledge and attitudes,Comprehensive knowledge about HIV prevention,1.5,percent,
,6.3 Comprehensive knowledge about HIV prevention among young people,1.8,percent,
,Knowledge of mother-to-child transmission of HIV,8.4,percent,
,Accepting attitude towards people living with HIV,16,percent,
,,,,
,,,,
,,,,
