0,1,2,3,4,5
Mortalité de la petite enfance,,,,,
Indicateur MICS,Indicateur,Description,ValeurA,,
,1.1,,Taux de mortalité néonatale,Probabilité de décéder dans le premier mois de vie,"37,8"
,1.2,OMD 4.2,Taux de mortalité Infantile,Probabilité de décéder entre la naissance et le premier anniversaire,"66,5"
,1.3,,Taux de mortalité post- néonatale,Différence entre les taux de mortalité infantile et néonatale,"28,8"
,1.4,,Taux de mortalité juvénile,Probabilité de décéder entre le premier et le cinquième anniversaire,"52,2"
,1.5,OMD 4.1,Taux de mortalité infanto- juvénile,Probabilité de décéder entre la naissance et le cinquième anniversaire,"115,2"
A La valeur de l’indicateur s’exprime pour 1000 naissances vivantes et fait référence à la période de 5 ans avant l’enquête,,,,,
Etat Nutritionneli,,,,,
Indicateur MICS,Indicateur,Description,Valeur,,
,,OMD 1.8,Prévalence de l’insuffisance pondérale,Pourcentage d’enfants de moins de 5 ans qui se situent de la médiane taille-pour-âge du standard de l’OMS,
,2.1a,,Modérée et sévère (-2 SD),en-dessous de moins 2 écarts-type (modéré et sévère),"18,0"
,2.1b,,Sévère (-3 SD),en-dessous de moins 3 écarts-type (sévère),"4,7"
,,,de la médiane poids-pour-âge du standard de l’OMS,,
,,,,,
,,,,,
,,,Prévalence du retard de croissance,Pourcentage d’enfants de moins de 5 ans qui se situent de la médiane taille-pour-âge du standard de l’OMS,
,2.2a,,Modérée et sévère (-2 SD),en-dessous de moins 2 écarts-type (modéré et sévère),"34,0"
,2.2b,,Sévère (-3 SD),en-dessous de moins 3 écarts-type (sévère),"12,1"
,,,,,
,,,,,
,,,,,
,,,Prévalence de l’émaciation,Pourcentage d’enfants de moins de 5 ans qui se situent de la médiane taille-pour-âge du standard de l’OMS,
,2.3a,,Modérée et Sévère (-2 SD),en-dessous de moins 2 écarts-type (modéré et sévère),"4,5"
,2.3b,,Sévère (-3 SD),en-dessous de moins 3 écarts-type (sévère),"0,9"
,,,,,
,2.3c,,Prévalence de l’obésité,Pourcentage d’enfants de moins de 5 ans qui se situent au-dessus de 2 écarts-type par rapport à la médiane poids- pour-taille du standard de l’OMS,"1,7"
Allaitement et alimentation des enfants,,,,,
Indicateur MICS,Indicateur,Description,Valeur,,
,2.5,,Enfants allaités,"Pourcentage de femmes qui ont eu une naissance vivante dans les 2 ans précédant l’enquête et qui ont allaité leur dernier enfant né vivant, à n’importe quel moment","97,2"
