0,1,2,3,4
,Numéro Numéro,,,
Rubrique,d’indicateur d’indicateur Indicateur MICS OMD,Valeur,,
MORTALITE DES ENFANTS,,,,
Mortalité des Enfants,1,13,Taux de mortalité des enfants de moins de 5 ans (période de référence : mars 2000 -avril 2002),188 ‰
NUTRITION,,,,
Statut,6,4,Prévalence d’insuffisance pondérale,"37,4 %"
nutritionnel,7,,Prévalence de retard de croissance,"34,6 %"
,8,,Prévalence de l’émaciation,"23,1 %"
Allaitement,45,,Allaitement à la première heure de naissance ,"19,6 %"
,15,,Taux d’allaitement exclusif ,"8,2 %"
,16,,Taux d’allaitement continu ,
,,,à 12-15 mois ,"96,1 %"
,,,à 20-23 mois,"85,4 %"
,17,,Taux d’alimentation complémentaire à 6-9 mois,"49,6 %"
,18,,Fréquence d’alimentation complémentaire,"40,6 %"
,19,,Enfants bien nourris,"25,0 %"
,,,,
,,,,
,,,,
Vitamine A,42,,Supplémentation en vitamine A (enfants de moins de 5 ans),"67,1 %"
,43,,Supplémentation en vitamine A (accouchée),"48,3 %"
Faible poids,9,,Enfants avec un faible poids à la naissance,"16,2 %"
à la naissance,10,,Enfants pesés à la naissance,"39,0 %"
SANTE INFANTILE,,,,
Vaccination,25,,Couverture vaccinale contre la tuberculose ,"91,4 %"
,26,,Couverture vaccinale contre la polio ,"77,4 %"
,27,,"Couverture vaccinale contre la diphtérie, la coqueluche et le tétanos","76,5 %"
,28,15,Couverture vaccinale contre la rougeole,"70,3 %"
,31,,Enfants complètement vaccinés ,"60,5 %"
,30,,Couverture vaccinale contre la fièvre jaune ,"70,8 %"
,,,,
,,,,
Toxoide Tétanique,32,,Protection contre le tétanos néonatal,"75,0 %"
Soins de santé,33,,Utilisation de la thérapie de réhydratation par voie orale (TRO),"23,3 %"
,34,,Traitement à domicile de la diarrhée,"36,3 %"
,35,,TRO reçu ou apport d’aliments liquides et poursuite,"42,4 %"
,,,de l’alimentation,
,23,,Consultations pour les enfants suspectés de pneumonie,"38,5 %"
,22,,Traitement antibiotique des enfants suspectés de pneumonie,"31,4 %"
Utilisation,24,29,Combustibles solides,"93,9 %"
de combustibles solides,,,,
Paludisme,36,,Disponibilité de moustiquaires imprégnées d’insecticide (MII) dans les ménages,"23,3 %"
,37,22,Enfants de moins de 5 ans dormant sous moustiquaire imprégnée d’insecticide,"9,6 %"
,38,,Enfants de moins de 5 ans dormant sous moustiquaire ,"18,0 %"
,39,22,Traitement antipaludéen des enfants de moins de 5 ans ,"41,0 %"
,40,,Traitement préventif du paludisme (chez la femme enceinte) ,"1,3 %"
,,,,
,,,,
Source et coûts,96,,Source d’approvisionnement (de sources publiques),
,Numéro d’indicateur MICS,Numéro d’indicateur OMD,,
Rubrique,,,Indicateur,Valeur
d’approvisionne-,,,Moustiquaire imprégnée d’insecticide ,"45,6 %"
,,,Antipaludéens ,"52,7 %"
,,,Antibiotiques ,"72,9 %"
,,,Sel de réhydratation orale ,"77,5 %"
,97,,Coût d’approvisionnement (coût moyen) ,
,,,Moustiquaires imprégnées d’insecticide ,
,,,Sources publiques Sources privées,
,,,Sources publiques ,"1500,0 FCFA"
,,,Sources privées ,"1500,0 FCFA"
ment,,,Antipaludéens ,
,,,Sources publiques ,"500,0 FCFA"
,,,Sources privées ,"433,0 FCFA"
,,,Sel de réhydratation orale ,
,,,Sources publiques ,"100,0 FCFA"
,,,Sources privées ,"100,0 FCFA"
,,,,
,,,,
,,,,
,,,,
,,,,
ENVIRONNEMENT,,,,
Eau et,11,30,Utilisation de sources améliorées d’eau de boisson,"77,3 %"
Assainissement,13,,Traitement de l’eau,"3,3 %"
