0,1,2,3,4,5,6,7
Rubrique,Numéro d’indicateur MICS,Numéro d’indicateur OMD,Contexte de l’Indicateur,Définition de l’Indicateur,Valeur,Unité,
MORTALITÉ INFANTILE,,,,,,,
NUTRITION,,,,,,,
,1,13,Taux de mortalité infanto-juvénile,"Probabilité de décéder entre la naissance et le cinquième anniversaire, pour 1 000 naissances vivantes",176,‰,
,2,14,Taux de mortalité infantile,"Probabilité de décéder entre la naissance et le premier anniversaire, pour 1 000 naissances vivantes",120,‰,
Allaitement maternel,45,,Allaitement commencé à temps,Nombre de femmes ayant eu un enfant vivant au cours des 2 années précédant l’enquête et ou qui ont donné le sein au nouveau-né dans l’heure qui a suivi l’accouchement,"58,3",%,
Vitamine A,43,,Supplémentation en vitamine A (accouchées),Nombre de femmes ayant accouché d’un enfant vivant au cours des 2 ans précédant l’enquête et qui ont reçu une dose élevée de compléments en vitamine A dans les 8 semaines ayant suivi l’accouchement,"38,1",%,
SANTÉ DE L’ENFANT,,,,,,,
Vaccination,25,,Couverture vaccinale de la tuberculose,Nombre d’enfants de 12-23 mois vaccinés contre la tuberculose avant leur premier anniversaire,"90,2",%,
,26,,Couverture vaccinale de la polio3,Nombre d’enfants de 12-23 mois vaccinés contre la poliomyélite avant leur premier anniversaire,"67,5",%,
,27,,Couverture vaccinale de la DTC3,"Nombre d’enfants de 12-23 mois vaccinés contre la diphtérie, le tétanos et la coqueluche avant leur premier  anniversaire","60,1",%,
,28,15,Couverture vaccinale de la  rougeole,Nombre d’enfants de 12-23 mois vaccinés contre la rougeole avant leur premier anniversaire,"68,8",%,
,31,,Enfants entièrement vaccinés,"Nombre d’enfants de 12-23 mois vaccinés aux DTC1-3, aux OPV-1-3, au BCG et contre la rougeole avant leur premier anniversaire","34,8",%,
,29,,Couverture   vaccinale    de l’hépatite B,Nombre d’enfants de 12-23 mois vaccinés contre l’hépatite avant leur premier anniversaire,"34,6",%,
Toxoïde tétanique,32,,Protection contre le tétanos néonatal,"Nombre de mères ayant eu un enfant né vivant au cours de l’année écoulée, qui  ont reçu au moins deux doses du vaccin de l’anatoxine tétanique (VAT) dans l’intervalle approprié avant d’accoucher",76,%,
Prise en charge des maladies,33,,Utilisation de la thérapie de réhydratation par voie orale (TRO),"Nombre d’enfants de 0-59 mois atteints de diarrhée au cours des 2 dernières semaines, traités aux sels de  réhydratation par voie orale et/ou à l’aide d’une solution domestique appropriée","36,5",%,
,34,,Prise en charge à domicile de la diarrhée,"Nombre d’enfants de 0-59 mois atteints de diarrhée au cours des 2 dernières semaines, dont on a augmenté la consommation d’aliments fluides ET qui ont continué de manger à peu près moins, autant ou plus que d’habitude","7,6",%,
,35,,TRO reçue ou augmentation des fluides et  poursuite  de l’alimentation,"Nombre d’enfants de 0-59 mois atteints de diarrhée traités à la RVO (sels de réhydratation orale ou  solution  domestique appropriée) ou dont on augmente la consommation d’aliments fluides et qui ont continué de manger à peu près moins, autant ou plus que d’habitude","23,1",%,
Rubrique,Numéro d’indicateur MICS,Numéro d’indicateur OMD,Contexte de l’Indicateur,Définition de l’Indicateur,Valeur,Unité,
,23,,Recherche de soins pour pneumonie présumée,Nombre d’enfants de 0-59 mois suspectés de pneumonie au cours des 2 dernières semaines ayant consulté un traitant approprié,"37,8",%,
,22,,Traitement aux antibiotiques d’une pneumonie présumée,"Nombre d’enfants de 0-59 mois suspectés de pneumonie au cours des 2 dernières semaines, traités aux antibiotiques","26,2",%,
Utilisation des combustibles solides,24,29,Combustibles solides,"Nombre de résidents dans les ménages utilisant des combustibles solides (bois, charbon, résidus de récoltes ou déjections animales) comme principale source énergétique pour la cuisson","99,4",%,
Paludisme,36,,Disponibilité de moustiquaires imprégnées (MI) par ménage,Nombre de ménages possédant au moins une moustiquaire imprégnée de manière permanente ou imprégnée l’année passée,"7,7",%,
,37,22,Enfants de moins de 5 ans dormant sous une MI,Nombre d’enfants de 0-59 mois ayant passé la nuit précédente sous une moustiquaire imprégnée,"8,3",%,
,38,,Enfants de moins de 5 ans dormant sous une moustiquaire,Nombre d’enfants de 0-59 mois ayant passé la nuit précédente sous une moustiquaire,"13, 3",%,
,39,22,Traitement antipaludéen (moins de  5 ans),"Nombre d’enfants de 0-59 mois ayant eu de la fièvre au cours des 2 dernières semaines, traités à l’aide d’un antipaludéen approprié dans  les  24 heures qui ont suivi l’accès de fièvre","19,1",%,
,40,,Traitement préventif intermittent du paludisme (femmes enceintes),"Nombre de femmes recevant  un traitement intermittent approprié contre le paludisme (défini comme équivalant à au moins 2 doses de SP/Fansidar) en cours de grossesse, ayant accouché d'un enfant né vivant, au cours des 2 années précédant l’enquête","19,4",%,
Sources d’approvisionnement,96,,Source d’approvisionnement (sources publiques),"Nombre d’enfants (ou de ménages) dont les approvisionnements se font auprès de fournisseurs publics, présenté individuellement par type de provision : moustiquaires imprégnées, sels de réhydratation orale, antibiotiques et antipaludéens",,,
,,,Antipaludéens,,62,%,
,,,Antibiotiques,,72,%,
,97,,Coût d’approvisionnement (coût médian),"Coût moyen des approvisionnements obtenus, présenté individuellement pour chaque type de provision et classé  par leur provenance d’un fournisseur public ou privé : moustiquaires imprégnées, sels de réhydratation orale, antibiotiques et antipaludéens",700,FBU,
,,,,,,,
,,,Antipaludéens,,,,
,,,*sources publiques,,700,FBU,
,,,*sources privées,,700,FBU,
,,,Antibiotiques,,,,
,,,*sources publiques,,700,FBU,
,,,*sources privées,,600,FBU,
ENVIRONNEMENT,,,,,,,
Eau et assainissement,11,30,Utilisation de sources d’eau potable améliorées,Nombre d’habitants vivant dans des ménages utilisant des sources d’eau potable améliorées,"64,3",%,
,13,,Traitement de l’eau,Nombre d’habitants des ménages utilisant de l’eau traitée,"1,9",%,
,12,31,Utilisation d’installations sanitaires améliorées,Nombre d’habitants des ménages utilisant des installations sanitaires améliorées,"31,7",%,
,14,,Élimination des excréments infantiles,Nombre d’enfants de moins de trois ans dont les (dernières) selles ont été éliminées de manière sûre ,"68,1",%,
Rubrique,Numéro d’indicateur MICS,Numéro d’indicateur OMD,Contexte de l’Indicateur,Définition de l’Indicateur,Valeur,Unité,
SANTÉ DE LA REPRODUCTION,,,,,,,
Contraception et besoins à couvrir,21,19c,Prévalence des contraceptifs,Nombre de femmes de 15-49 ans mariées ou en union utilisant (ou dont  le partenaire utilise) une méthode contraceptive (moderne ou traditionnelle),"9,1",%,
