0,1,2,3,4,5
RUBRIQUE,NUMÉRO DE L’INDICATEUR MICS 3,NUMÉRO DE L’INDICATEUR OMD,INDICATEUR,VALEUR,UNITÉ
Mortalité infantile,,,,,
Mortalité infantile,1,13,Taux de mortalité chez les enfants de moins de 5 ans (OMD),1442,Pour 1000 naissances vivantes
,2,14,Taux de mortalité infantile,743,Pour 1000 naissances vivantes
Nutrition,,,,,
Etat nutritionnel,6,4,Prévalence de l’insuffisance pondérale (modérée ; sévère),"19,3 ; 5,2",Pour 100
,7,,Prévalence du retard de croissance (modéré ; sévère),"30,4 ; 12,6",Pour 100
,8,,Prévalence de la déperdition ou émaciation (modérée ; sévère),"6,1 ; 1,2",Pour 100
Allaitement,45,,Enfants allaités moins d’une heure après la naissance,"19,6",Pour 100
,15,,Enfants de 0-5 mois allaités exclusivement au sein,"21,2",Pour 100
,16,,Enfants de 12-15 mois ; 20-23 mois allaités,"78,7 ; 21,2",Pour 100
,17,,Enfants de 6-9 mois recevant le lait maternel et des aliments de complément,"63,74",Pour 100
,18,,Enfants de 6-11 mois allaités au sein et ayant reçu des compléments alimentaires un nombre minimum de fois recommandé par jour,"46,7",Pour 100
,19,,Enfants de 0-11 mois nourris de façon appropriée,"34,6",Pour 100
Iodation,41,,Ménages consommant du sel iodé à 25+PPM,"49,1",Pour 100
Vitamine A,42,,Supplémentation des enfants de 6-59 mois en vitamine A au cours des 6 mois derniers mois,"57,7",Pour 100
,43,,Supplémentation post partum de mères en vitamine A,"38,1",Pour 100
Faible poids à la naissance,9,,Poids à la naissance inférieur à 2 500 grammes,"10,8",Pour 100
,10,,Enfants pesés à la naissance,"59,1",Pour 100
Santé de l’enfant,,,,,
Vaccination,25,,Couverture vaccinale contre la tuberculose (BCG),"90,0",Pour 100
,26,,Couverture vaccinale contre la poliomyélite (Polio),"69,5",Pour 100
,27,,Couverture vaccinale contre la DTCoq,"75,2",Pour 100
,28,15,Couverture vaccinale contre la rougeole,"78,8",Pour 100
,31,,Enfants entièrement vaccinés,"56,8",Pour 100
,29,,Couverture vaccinale contre l’hépatite B,"35,5",Pour 100
,30,,Couverture vaccinale contre la fièvre jaune,"57,4",Pour 100
Tétanos néonatal,32,,Femmes ayant donné une naissance vivante au cours des 2 années ayant précédé l’enquête et protégées contre le tétanos,"73,1",Pour 100
Prise en charge de la maladie,33,,Utilisation de la Solution de Réhydratation par voie Orale (SRO),"19,2",Pour 100
,34,,Prise en charge à domicile de la diarrhée,"8,95",Pour 100
,35,,"Enfants de moins de 5 ans ayant eu la diarrhée et qui ont reçu une quelconque SRO, ont augmenté la prise de liquides et poursuivi l’alimentation","21,8",Pour 100
,23,,Recherche des soins de santé auprès d’un personnel approprié pour les cas de pneumonie suspectée (IRA),"34,8",Pour 100
,22,,Enfants de moins de 5 ans suspectés de pneumonie ayant reçu un traitement antibiotique,"38,0",Pour 100
