0,1,2,3,4,5
Tema,Número de indicador de MICS 4,Número de indicador de ODM,Indicador,Valor,
NUTRICIÓN,,,,,
,2.4,,Niños (as) amamantados alguna vez,97%,
,2.5,,Iniciación temprana de la lactancia,59.6%,
,2.6,,Lactancia exclusiva en menores de 6 meses,32.5%,
,2.7,,Lactancia continuada a un 1 año,54.8%,
,2.8,,Lactancia continuada a los 2 años,27.5%,
Lactancia y alimentación de niñas y niños,2.9,,Lactancia predominante en menores de 6 meses,46.3%,
,2.10,,Duración de la lactancia(mediana),14.0 meses,
,2.11,,Alimentación con biberón,53.5%,
,2.12,,"Introducción de alimentos sólidos, semisólidos o suaves",86.4%,
,2.13,,Frecuencia mínima de las comidas,79.4%,
,2.14,,Lactancia adecuada para la edad,41.1%,
,2.15,,Frecuencia de alimentación con leche en niños (as) al menos 2 veces,93.3%,
Bajo peso al nacer,2.18,,Niñas y niños con bajo peso al nacer,6.6%,
,2.19,,Niñas y niños pesados al nacer,97.8%,
SALUD DEL NIÑO(A),,,,,
,3.1,4.3,Cobertura de inmunización contra tuberculosis,99.5%,
,3.2,,Cobertura de inmunización contra la polio,92.7%,
Vacunas,3.3,,"Cobertura de inmunización contra difteria, tos ferina y tétano (DPT)",92.2%,
,3.4,,Cobertura de inmunización contra sarampión,92.6%,
,3.5,,Cobertura de inmunización contra hepatitis B,88.6%,
Toxoide tetánico,3.7,,Mujeres de 15-49 años con un nacimiento vivo protegidas contra el tétanos neonatal y la tosferina,37.8%,
,3.8,,Terapia de rehidratación oral con alimentación continuada,69.6%,
Cuidado de la,3.9,,Búsqueda de atención para presunta neumonía,77.2%,
enfermedad,,,,,
,3.10,,Tratamiento con antibióticos para presunta neumonía,71.5%,
Uso de combustibles sólidos,3.11,,Combustibles sólidos,7.3%,
Tema,Número de indicador de MICS 4,Número de indicador de ODM,Indicador,Valor,
AGUA Y SANEAMIENTO,,,,,
Agua y saneamiento,4.1,7.8,Uso de fuentes mejoradas de agua para beber,99.2%,
,4.2,,Tratamiento del agua,23.3%,
,4.3,7.9,Uso de servicios de saneamiento mejorados,94.5%,
,4.4,,Eliminación segura de las heces del niño(a),27.9%,
,4.5,,Lugar para el lavado de manos,90.4%,
,4.6,,Disponibilidad de jabón,91%,
SALUD REPRODUCTIVA,,,,,
Anticoncepción y necesidad,5.1,5.4,Tasa específica de fecundidad en adolescentes (mujeres de 15 a 19 años),54 por 1 000 mujeres,
no satisfecha,,,,,
,5.3,5.3,Prevalencia de anticoncepción en mujeres casadas o en unión,76.2%,
,5.4,5.6,Necesidad insatisfecha de métodos anticonceptivos,7.6%,
Salud materna,Cobertura de atención prenatal,,,,
y del recién nacido,,,,,
,5.5a,5.5,Por personal capacitado al menos una vez,98.1%,
,5.5b,,Por cualquier profesional al menos cuatro veces,90.2%,
,5.6,,"Toma de presión arterial, muestras de orina y de sangre en la atención prenatal",94%,
,5.7,5.2,Partos atendidos por personal capacitado,98.4%,
,5.8,,Partos institucionales,98.1%,
,5.9,,Partos por cesárea,26.2%,
DESARROLLO DEL NIÑO(A),,,,,
