0,idt,mdg,name,1,2
NUTRICIÓN,,,,,
Lactancia y alimentación de infantes,,,,,
,2.5,None,Niños/as amamantados alguna vez,Porcentaje de mujeres con un nacido vivo en los últimos 2 años que amamantaron a su último hijo/a nacido vivo en cualquier momento,"96,2"
,2.6,None,Iniciación temprana de la lactancia materna,Porcentaje de mujeres con un nacido vivo en los últimos 2 años que dio de lactar a su último nacido vivo dentro de la primera hora de haber nacido,"47,9"
,2.7,None,Lactancia exclusiva en menores de 6 meses,Porcentaje de infantes menores de 6 meses que son amamantados exclusivamente,"33,2"
,2.8,None,Lactancia predominante en menores de 6 meses,Porcentaje de infantes menores de 6 meses que recibió leche materna como fuente predominante de alimentación durante el día anterior,"39,3"
,2.9,None,Lactancia continuada en niños/as de 1 año,Porcentaje de niños/as de 12 a 15 meses que recibió leche materna durante el día anterior,"39,1"
,2.10,None,Lactancia continua en niños/as hasta los 2 años,Porcentaje de niños/as de 20 a 23 meses que recibió leche materna durante el día anterior,"24,0"
,2.11,None,Duración mediana de la lactancia,La edad en meses en que el 50 por ciento de los niños/as de 0 a 35 meses no recibió leche materna el día anterior,"10,5"
,2.12,None,Lactancia materna adecuada para la edad,Porcentaje de niños/as de 0 a 23 meses alimentados adecuadamente el día anterior,"37,4"
,2.13,None,"Introducción de alimentos sólidos, semisólidos o blandos","Porcentaje de infantes de 6 a 8 meses que recibió alimentos sólidos, semisólidos o blandos el día anterior","91,1"
,2.14,None,Frecuencia de alimentos lácteos para niños/as no amamantados,Porcentaje de niños/as no amamantados de 6 a 23 meses que recibió al menos 2 alimentos lácteos el día anterior,"90,9"
,2.15,None,Frecuencia mínima de comidas,"Porcentaje de niños/as de 6 a 23 meses que recibió alimentos sólidos, semisólidos y blandos (además de alimentos lácteos para niños/as no amamantados) el número mínimo de veces o más el día anterior","77,0"
,2.16,None,Diversidad alimentaria mínima,Porcentaje de niños/as de 6 a 23 meses que recibió alimentos de 4 o más grupos de alimentos el día anterior,"80,3"
,2.17a,None,Dieta mínima aceptable,(a) Porcentaje de niños/as de 6 a 23 meses amamantados,"49,7"
,2.17b,None,,que recibió al menos la diversidad alimentaria mínima y la,
,,,,frecuencia mínima de comidas el día anterior,
,,,,(b) Porcentaje de niños/as de 6 a 23 meses no amamantados,"60,3"
,,,,que recibió al menos 2 alimentos lácteos y tuvo al menos la,
