0,1,2,3,4,5
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
CHILD MORTALITY,,,,,
Child mortality,1,13,Under-five mortality rate,131,per thousand
,2,14,Infant mortality rate,93,per thousand
NUTRITION,,,,,
Nutritional status,6,4,Underweight prevalence,20.3,per cent
,7,,Stunting prevalence,22.4,per cent
,8,,Wasting prevalence,6.4,per cent
Breastfeeding,45,,Timely initiation of breastfeeding,47.7,per cent
,15,,Exclusive breastfeeding rate of 0-5 months,40.8,per cent
,16,,Continued breastfeeding rate,,
,,,at 12-15 months,92.3,per cent
,,,at 20-23 months,53.2, per cent
,17,,Timely complementary feeding rate,43.8,per cent
,18,,Frequency of complementary feeding,39,per cent
,19,,Adequately fed infants - 0-11 months,40,per cent
Salt iodization,41,,Iodized salt consumption,6.6,per cent
Vitamin A,42,,Vitamin A supplementation (under-fives),80.1,per cent
,43,,Vitamin A supplementation (post-partum mothers),78,per cent
Low birth weight,9,,Low birth weight infants,19.9,per cent
,10,,Infants weighed at birth,51.8,per cent
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,96.6,per cent
,26,,Polio immunization coverage,87.6,per cent
,27,,DPT immunization coverage,86.8,per cent
,28,15,Measles immunization coverage,92.4,per cent
,31,,Fully immunized children,74.5,per cent
,29,,Hepatitis B immunization coverage,79.6,per cent
,30,,Yellow fever immunization coverage,83.5,per cent
Tetanus toxoid,32,,Neonatal tetanus protection,75.6,per cent
Care of illness,33,,Use of oral rehydration therapy (ORT),48.2,per cent
,34,,Home management of diarrhoea,29.4,per cent
,35,,"Received ORT or increased fluids, and continued feeding",37.9,per cent
,,,,,
,23,,Care seeking for suspected pneumonia,68.9,per cent
,22,,Antibiotic treatment of suspected pneumonia,61.3,per cent
Solid fuel use,24,29,Solid fuel,90.9,per cent
Malaria,36,,Household availability of insecticide-treated nets (ITNs),49.5,per cent
,37,22,Under-fives sleeping under insecticide-treated nets,49,per cent
,38,,Under-fives sleeping under mosquito nets,63,per cent
,39,22,Antimalarial treatment (under-fives),52.4,per cent
,40,,Intermittent preventive malaria treatment,32.5,per cent
,,,(pregnant women),,
Topic,MICS,MDG,Indicator,,Value
,Indicator Number,Indicator Number,,,
Source and cost of supplies,96,,Source of supplies (from public sources),,
,,,Insecticide treated nets,*,per cent
,,,Antimalarials,66.9,per cent
,,,Antibiotics,65,per cent
,,,Oral rehydration salts,82.7,per cent
,97,,Cost of supplies (median costs),,
,,,Insecticide treated nets,,
,,,Public sources,60,Dalasis
,,,private sources,137.9,Dalasis
,,,Antimalarials,,
,,,Public sources,25,Dalasis
,,,private sources,85,Dalasis
,,,Antibiotics,,
,,, Public sources,34.6,Dalasis
,,,private sources,68.1,Dalasis
,,,Oral rehydration salts,,
,,,Public sources,10,Dalasis
,,,private sources,10,Dalasis
ENVIRONMENT,,,,,
Water and Sanitation,11,30,Use of improved drinking water sources,85.1,per cent
,13,,Water treatment,3,per cent
,12,31,Use of improved sanitation facilities,84.2,per cent
,14,,Disposal of child's faeces,81.2,per cent
Security of tenure and durability of housing,93,,Security of tenure,45.6,per cent
,94,,Durability of housing,1.8,per cent
,95,32,Slum household,70.2,per cent
REPRODUCTIVE HEALTH,,,,,
Maternal and newborn health,20,,Antenatal care provided by skilled personnel,97.8,per cent
,44,,Content of antenatal care,,
,,,Blood test taken,89.7,per cent
,,,Blood pressure measured,96.6,per cent
,,,Urine specimen taken,86.7,per cent
,,,Weight measured,97.5,per cent
,4,17,Skilled attendant at delivery,56.8,per cent
,5,,Institutional deliveries,54.5,per cent
CHILD DEVELOPMENT,,,,,
Child Development,46,,Support for learning,46.9,per cent
,47,,Father's support for learning,20.6,per cent
,51,,Non-adult care,17.4,per cent
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
EDUCATION,,,,,
Education,52,,Pre-school attendance,19.7,per cent
,53,,School readiness,27.3,per cent
,54,,Net intake rate in primary education,29.9,per cent
,55,6,Net primary school attendance rate,61,per cent
,56,,Net secondary school attendance rate,36.5,per cent
,57,7,Children reaching grade five,96.6,per cent
,58,,Transition rate to secondary school,56.2,per cent
,59,7b,Primary completion rate,73.6,per cent
,61,9,Gender parity index primary school secondary school,1.03,ratio
,,,,0.87, ratio
Literacy,60,8,Adult literacy rate for females aged 15-24 years,43.1,per cent
CHILD PROTECTION,,,,,
Birth registration,62,,Birth registration,55.1,per cent
Child labour,71,,Child labour,24.7,per cent
,72,,Labourer students,64.5,per cent
,73,,Student labourers,24.2,per cent
Child discipline,74,,Child discipline,82.4,per cent
,,,Any psychological/physical punishment,,
Early marriage and polygyny,67,,Marriage before age 15 Marriage before age 18,9.9,per cent
,,,,48.7,per cent
,68,,Young women aged 15-19 currently,25.1,per cent
,,,married/in union,,
,70,,Polygyny,43.6,per cent
,69,,"Spousal age difference, 10 years and above",59.4,per cent
,,,Women aged 15-19,56.5,per cent
,,,Women aged 20-24,,
Female genital mutilation/ Cutting,66,,Approval for FGM/C,71.1,per cent
,63,,Prevalence of female genital mutilation/cutting,78.3,per cent
,,,(FGM/C),,
,,,Like daughter to undergo FGM/C,72.9,per cent
Domestic violence,100,,Attitudes towards domestic violence,74.0,per cent
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED AND VULNERABLE CHILDREN",,,,,
HIV/AIDS,82,19b,Comprehensive knowledge about HIV prevention among young people,39.2,per cent
knowledge and attitudes,,,,,
,89,,Knowledge of mother- to-child transmission of HIV,66.7,per cent
,86,,Attitude towards people with HIV/AIDS,16.3,per cent
,,,(no discrimination),,
,87,,Women who know where to be tested for HIV,54.7,per cent
,88,,Women who have been tested for HIV,13.6,per cent
