0,1,2,3,4,5
Topic,,,,,Value
,,,,,
,,,,,
NUTRITION,,,,,
,,1.8,Underweight prevalence,,
,2.1a,,Moderate and Severe (- 2 SD),12.6,percent
,2.1b,,Severe (- 3 SD),2.1,percent
,,,Stunting prevalence,,
,2.2a,,Moderate and Severe (- 2 SD),11,percent
,2.2b,,Severe (- 3 SD),3.9,percent
,,,Wasting prevalence,,
,2.3a,,Moderate and Severe (- 2 SD),14.1,percent
,2.3b,,Severe (- 3 SD),2.7,percent
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Breastfeeding and,,,,,
,2.4,,Children ever breastfed,96.2,percent
,2.5,,Early initiation of breastfeeding,43.3,percent
,2.6,,Exclusive breastfeeding under 6 months,-45.7,percent
,2.9,,Predominant breastfeeding under 6 months,-63.8,percent
,2.10,,Mean Duration of breastfeeding,15.9,Months
,2.11,,Bottle feeding,27.3,percent
,2.13,,Minimum meal frequency,20.6,percent
,2.14,,Age-appropriate breastfeeding,38.9,percent
,2.15,,Milk feeding frequency for non-breastfed children,34.9,percent
,2.16,,Iodized salt consumption,63,percent
,2.17,,Vitamin A supplementation (children under age 5),23.2,percent
,2.18,,Low-birthweight infants,13.1,percent
,2.19,,Infants weighed at birth,85.7,percent
CHILD HEALTH,,,,,
,3.1,,Tuberculosis immunization coverage,99,percent
,3.2,,Polio immunization coverage,89.9,percent
,3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",91.7,percent
,3.4,,4.3 Measles immunization coverage,97.7,percent
,3.5,,Hepatitis B immunization coverage,91.7,percent
,3.6,,Yellow fever immunization coverage,96,percent
,3.7,,Neonatal tetanus protection,74.2,percent
,3.8,,Oral rehydration therapy with continued feeding,51,percent
,3.11,,Solid fuels,60.2,percent
,3.12,,Household availability of insecticide-treated nets (ITNs),16.2,percent
,3.13,,Households protected by a vector control method,17.5,percent
,3.14,,Children under age 5 sleeping under any mosquito net,12.4,percent
,3.15,,6.7 Children under age 5 sleeping under insecticide-treated nets (ITNs),10.3,percent
,3.16,,Malaria diagnostics usage,24,Percent
,3.17,,Antimalarial treatment of children under 5 the same or next day,53.5,percent
,3.18,,6.8 Antimalarial treatment ¬¬of children under age 5,81.7,percent
,3.20,,Intermittent preventive treatment for malaria,45.9,Percent
Figures in parentheses ‘()’ are based on 25-49 unweighted cases,,,,,
MICS4 MDG,,,,,
Indicator Indicator,,,,,
Topic Number Number Indicator Value,,,,,
WATER AND SANITATION,,,,,
,4.1,7.8,Use of improved drinking water sources,98.4,percent
