0,1,2,3,4,5
Rubrique,Numéro Indicateur MICS,Numéro indicateur OMD,Indicateur,Valeur,
MORTALITÉ DES ENFANTS,,,,,
Mortalité des enfants,1,13,Taux de mortalité infanto-juvénile,223,pour mille
,2,14,Taux de mortalité infantile,138,pour mille
NUTRITION,,,,,
Statut nutritionnel,6,4,Prévalence de l’insuffisance pondérale modérée,"19,4",Pour cent
,6,4,Prévalence de l’insuffisance pondérale sévère,"4,0",Pour cent
,7,,Prévalence du retard de croissance modéré,"40,9",Pour cent
,8,,Prévalence de la déperdition,"19,5",Pour cent
Allaitement maternel,45,,Allaitement commencé à temps,"22,6",Pour cent
,15,,Taux d’allaitement exclusif (0-3 mois),"21,4",Pour cent
,15,,Taux d’allaitement exclusif (< 6 mois),"16,1",Pour cent
,16,,Taux d’allaitement continu,,
,,,à 12-15 mois,"92,8",Pour cent
,,,à 20-23 mois,"61,4",Pour cent
,17,,Taux d’alimentation complémentaire commencé à temps,"35,2",Pour cent
,18,,Fréquence de l’alimentation complémentaire,"28,6",Pour cent
,19,,Enfants bien nourris,"21,9",Pour cent
Iodation du sel,41,,Consommation de sel iodé,"0,9",Pour cent
Vitamine A,42,,Supplémentation en vitamine A (enfants : moins 5 ans),"58,6",Pour cent
,43,,Supplémentation en vitamine A (femmes : accouchées),"57,4",Pour cent
Faible poids à la naissance,9,,Nourrissons ayant un faible poids à la naissance,"23,9",Pour cent
,10,,Enfants pesés à la naissance,"41,5",Pour cent
SANTÉ DE L’ENFANT,,,,,
Vaccination,25,,Couverture vaccinale contre la tuberculose,"88,9",Pour cent
,26,,Couverture vaccinale contre la poliomyélite,"64,1",Pour cent
,27,,Couverture vaccinale contre la DTCoq,"62,8",Pour cent
,28,15,Couverture vaccinale contre la rougeole,"75,5",Pour cent
,31,,Enfants entièrement vaccinés,"39,9",Pour cent
,29,,Couverture vaccinale contre l’hépatite B,,Pour cent
,30,,Couverture vaccinale contre la fièvre jaune,,Pour cent
Toxoïde tétanique,32,,Protection contre le tétanos néonatal,"68,2",Pour cent
,33,,Utilisation de la thérapie de réhydratation par voie orale (TRO),"46,3",Pour cent
,34,,Prise en charge à domicile de la diarrhée,"11,0",Pour cent
Rubrique,Numéro Indicateur MICS,Numéro indicateur OMD,Indicateur,Valeur,
Prise en charge des maladies,35,,"TRO reçu ou augmentation des fluides, et poursuite de l’alimentation","25,3",Pour cent
,23,,Recherche de soins pour les cas de pneumonie présumée,"4,3",Pour cent
,22,,Traitement aux antibiotiques d’une pneumonie présumée,"41,9",Pour cent
Utilisation de combustibles solides,24,29,Combustibles solides,"98,4",Pour cent
Paludisme,36,,Disponibilité de moustiquaires imprégnées (MI) par ménage,"43,6",Pour cent
,37,22,Enfants de moins de 5 ans dormant sous une MI,"39,0",Pour cent
,38,,Enfants de moins de 5 ans dormant sous une moustiquaire,"73,2",Pour cent
,39,22,Traitement antipaludéen (enfants de moins de 5 ans),"27,2",Pour cent
,40,,Traitement préventif intermittent du paludisme (femmes enceintes),"7,4",Pour cent
Source et coût d’approvisionnement,96,,Source d’approvisionnement (sources publiques),,
,,,Moustiquaires imprégnées,"29,3",Pour cent
,,,Antipaludéens,"54,8",Pour cent
,,,Antibiotiques,"54,9",Pour cent
,,,Sels de réhydratation orale,"77,4",Pour cent
,97,,Coût d’approvisionnement (coût médian),,
,,,Moustiquaires imprégnées,,
,,,sources publiques,1000,[FCFA]
,,,sources privées,4945,[FCFA]
,,,Antipaludéens,,
,,,sources publiques,1500,[FCFA]
,,,sources privées,2000,[FCFA]
,,,Antibiotiques,,
,,,sources publiques,1782,[FCFA]
,,,sources privées,3000,[FCFA]
,,,Sels de réhydratation orale,,
,,,sources publiques,1000,[FCFA]
,,,sources privées,2376,[FCFA]
ENVIRONNEMENT,,,,,
Eau et assainissement,11,30,Utilisation de sources d’eau potable améliorées,"59,9",pour cent
,13,,Traitement de l’eau,"4,5",pour cent
,12,31,Utilisation d’installations sanitaires améliorées,"11,4",pour cent
