0,1,2,3,4,5,6,7
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Kaimana,Manokwari,Sorong,,,,,
CHILD MORTALITY,,,,,,,
Child mortality,1.1,4.1,Under-five mortality rate Infant mortality rate,65,81,54,"per 1,000"
,1.2,4.2,,50,60,42,"per 1,000"
NUTRITION,,,,,,,
Breastfeeding,2.4,4.1,Children ever breastfed,91.3,90.9,92.8,per cent
and infant,2.5,4.2,Early initiation of,22.7,23.2,27.2,per cent
feeding,,,breastfeeding,,,,
,2.6,,Exclusive breastfeeding under,(41.3),18.6,43.9,per cent
,,,6 months,,,,
,2.7,,Continued breastfeeding at,75,(*),74.2,per cent
,,,1 year,,,,
,2.8,,Continued breastfeeding at 2,65.5,54.7,(*),per cent
,,,years,,,,
,2.9,,Predominant breastfeeding,46.1,30.6,51.2,per cent
,,,under 6 months,,,,
,2.1,,Duration of breastfeeding,25.2,21.6,22.5,months
,2.11,,Bottle feeding,43.9,43.6,41.9,per cent
,2.13,,Minimum meal frequency,45.9,59.3,62.7,per cent
,2.14,,Age-appropriate breastfeeding,41.3,38.9,46.4,per cent
,,,Milk feeding frequency for,71.2,86.2,93.5,per cent
,2.15,,non-breastfed children,,,,
Vitamin A,2.17,,Vitamin A supplementation (children under age 5),51.1,47.1,70.4,per cent
Low birth weight,2.18,,Low-birth weight infants Infants weighed at birth,12,15.3,14.4,per cent per cent
,2.19,,,47.3,70,63.3,
CHILD HEALTH,,,,,,,
Vaccinations,3.1,,Tuberculosis immunization,79.2,68.1,95.9,per cent
,,,coverage,,,,
,3.2,,Polio immunization coverage,38.4,50.8,87,per cent
,3.3,,Immunization coverage for,33.1,38.8,69.9,per cent
,,,"diphtheria, pertussis and",,,,
,,,tetanus (DPT),,,,
,3.4,4.3,Measles immunization,53.6,61,88.9,per cent
,,,coverage,,,,
,3.5,,Hepatitis B immunization,31.9,29.2,67.6,per cent
,,,coverage,,,,
Tetanus toxoid,3.7,,Neonatal tetanus protection,62.4,56.5,76.4,per cent
Solid fuel use,3.11,,Solid fuels,53,45.9,52,per cent
Malaria,3.12,,Household availability of,37.2,31.8,44,per cent
,,,insecticide-treated nets (ITNs),,,,
,3.14,,Children under age 5 sleeping,46.6,40.9,64.3,per cent
,,,under any mosquito net,,,,
,3.15,6.7,Children under age 5 sleeping,36.1,25.2,45.6,per cent
,,,under insecticide-treated nets,,,,
,,,(ITNs),,,,
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Kaimana,Manokwari,Sorong,,,,,
,3.16,,Malaria diagnostics usage,40.3,48.4,15,per cent
,3.17,,Antimalarial treatment of,20,47.2,12.9,per cent
,,,children under 5 the same or,,,,
,,,next day,,,,
,3.18,6.8,Antimalarial treatment of,33.5,55.7,14.1,per cent
,,,children under age 5,,,,
WATER AND SANITATION,,,,,,,
Water and,4.1,7.8,Use of improved drinking,66.4,69,79.9,per cent
sanitation,,,water sources,,,,
,4.2,7.9,Water treatment,75.6,88,92.3,per cent
,4.3,,Use of improved sanitation,43.6,56.3,48.7,per cent
REPRODUCTIVE HEALTH,,,,,,,
Contraception,5.1,5.4,Adolescent birth rate,66,44,53,"per 1,000"
,5.2,,Early childbearing,15.5,15.2,16.8,per cent
,5.3,5.3,Contraceptive prevalence rate,30.1,53.9,53.7,per cent
,,,Unmet need,14.7,9.7,10.9,per cent
Maternal and,,5.5,Antenatal care coverage:,,,,
,5.5a,,• At least once by skilled personnel,83.7,85.8,91.2,per cent
,5.5b,,• At least four times by any provider,53.7,66.5,72.5,per cent
,5.6,,Content of antenatal care,29.6,19.4,16.6,per cent
newborn health,5.7,5.2,Skilled attendant at delivery,57.7,75.5,75.3,per cent
,5.8,,Institutional deliveries,33.4,54.4,21.8,per cent
,,,,,,,
,,,,,,,
,,,,,,,
EDUCATION,,,,,,,
Literacy and,7.1,2.3,Literacy rate among young,,,,
education,,,people:,,,,
,,,• women age 15-24 years,73.7,87.5,95.2,per cent
,,,• men age 15-24 years,73.1,89.2,89.7,per cent
,7.2,,School readiness,27.8,42.2,40.1,per cent
,7.3,,Net intake rate in primary,77,76.6,69.6,per cent
,,,education,,,,
,7.4,2.1,Primary school net attendance,93.6,94,95.8,per cent
,,,ratio (adjusted),,,,
,7.5,,Secondary school net,48,77.9,77.1,per cent
,,,attendance ratio (adjusted),,,,
,7.6,2.2,Children reaching last grade,96.3,98.8,96.3,per cent
,,,of primary,,,,
,7.7,,Primary completion rate,88.8,114.4,112.6,per cent
,7.8,,Transition rate to secondary,80.7,95.3,100,per cent
,,,school,,,,
,7.9,,Gender parity index (primary,1.02,1.01,1.01,ratio
,,,school),,,,
,7.1,,Gender parity index,1.32,0.98,1.07,ratio
,,,(secondary school),,,,
CHILD PROTECTION,,,,,,,
Birth registration,,,Birth registration,46.2,50.1,51.2,per cent
Child labour,8.2,,Child labour,26.9,20.1,22,per cent
,8.3,,School attendance among child labourers,89.5,88,92.4,per cent
(age 5-14)1,,,,,,,
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Kaimana,Manokwari,Sorong,,,,,
,8.4,,Child labour among students,29,23.1,23.8,per cent
Child discipline,8.5,,Violent discipline,86.4,83.7,89.9,per cent
Early marriage,8.6,,Marriage before age 15:,,,,
,,,women age 15-49 years,5,9.6,8.1,per cent
,,,men age 15-49 years,1.5,2.8,0.9,per cent
,8.7,,Marriage before age 18:,,,,
,,,women age 20-49 years,21.5,30.1,34.7,per cent
,,,men age 20-49 years,4.5,8,5.1,per cent
,8.8,,Young women age 15-19,13,21.7,15.4,per cent
,,,years currently married or in,,,,
,,,union,,,,
,,,Young men age 15-19 years,0.6,6.6,1.2,per cent
,,,currently married or in union,,,,
,,,Spousal age difference,,,,
,8.10b,,women age 20-24 years,5.4,9.9,19.2,per cent
Domestic,8.14,,Attitudes towards domestic,,,,
violence,,,violence,,,,
,,,women age 15-49 years,36,40.7,32.6,per cent
,,,men age 15-49 years,48.1,28.2,20.1,per cent
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED",,,,,,,
HIV/AIDS,9.1,,Comprehensive knowledge,,,,
knowledge and,,,about HIV prevention:,,,,
attitudes,,,women age 15-49 years,17.9,24.9,22.7,per cent
,,,men age 15-49 years,12.1,26.1,25.1,per cent
,9.2,6.3,Comprehensive knowledge,,,,
,,,about HIV prevention among,,,,
,,,young people:,,,,
,,,women age 15-24 years,16.3,27.1,36.8,per cent
,,,men age 15-24 years,8.7,29.7,27.7,per cent
,9.3,,Knowledge of mother-to-child,,,,
,,,transmission of HIV,,,,
,,,women age 15-49 years,50.5,61.7,59.5,per cent
,,,men age 15-49 years,65.8,57.8,67.2,per cent
,9.4,,Accepting attitudes towards,,,,
,,,people living with HIV:,,,,
,,,women age 15-49 years,6.2,13.4,21.1,per cent
,,,men age 15-49 years,6.8,14.6,17,per cent
,9.5,,Know a place to get tested for,,,,
,,,HIV:,,,,
,,,women age 15-49 years,22.6,31.1,19.5,per cent
,,,men age 15-49 years,21.2,36.4,20.1,per cent
,9.6,,Have been tested and have,,,,
,,,been told result:,,,,
,,,women age 15-49 years,0.6,0.8,0.8,per cent
,,,men age 15-49 years,2,2.8,0.8,per cent
,9.7,,Sexually active young women,,,,
,,,who have been tested for HIV,,,,
,,,and know the result:,,,,
